first_name,last_name,email,join_date,salary,remarks,sales,time_productive
Yuki,Tanaka,yuki34@outlook.com,09/10/2021,,  Good employee,4133,85
Wei,Singh,wei@gmail.com,09/10/2021,,  Good employee,3138,
Olga,Kumar,olga@hotmail,02/11/2022,$52872,Needs improvement ,,
Michael,Singh,michael86@example,Not Available,,Needs improvement ,$3163,83
Sara,Patel,sara78@yahoo.com,25/06/2021,$78655,,$2915,
Luis,Kumar,luis@gmail.com,22/07/2023,62016 USD,  Good employee,4641,92
Fatima,Garcia,fatima@yahoo.com,08/01/2020,,,$2261,
Anil,Ivanova,anil@,Not Available,$30633,  Good employee,$2371,
Olga,Smith,olga40@hotmail,Not Available,39705 USD,  Good employee,$4215,122
Luis,Kumar,luis@outlook.com,Not Available,,,$1278,129 hrs
Michael,Kumar,michael43@outlook.com,05/11/2024,$87764,,,
Priya,Garcia,priya@yahoo.com,Not Available,$37084,  Good employee,2588,168 hrs
Anil,Chen,anil43@hotmail,17/09/2021,,  Good employee,4385,
Wei,Chen,wei4@gmail.com,09/11/2022,,Needs improvement ,$1263,157
Michael,Tanaka,michael41@outlook.com,27/06/2021,58479 USD,,1291,85
Olga,Lee,olga67@example,27/02/2022,,,,
Priya,Chen,priya16@,Not Available,70839 USD,Needs improvement ,$3865,81 hrs
Olga,Garcia,olga25@outlook.com,16/04/2022,75692 USD,,$921,91 hrs
Fatima,Patel,fatima27@outlook.com,11/03/2023,$56612,,3059,87 hrs
Yuki,Chen,yuki95@yahoo.com,23/06/2022,,,4656,106 hrs
Sara,Garcia,sara@yahoo.com,Not Available,$70583,,4450,56 hrs
Wei,Kumar,wei@example,09/07/2024,$31600,  Good employee,3368,
Anil,Brown,anil52@yahoo.com,Not Available,,  Good employee,$2352,110 hrs
John,Lee,john7@example,13/05/2024,,  Good employee,715,70
Sara,Singh,sara97@outlook.com,29/06/2024,,,,57
Olga,Brown,olga@outlook.com,27/01/2023,,Needs improvement ,$3283,135
Priya,Garcia,priya10@,Not Available,$61758,Needs improvement ,550,123 hrs
Priya,Garcia,priya89@yahoo.com,Not Available,$35280,,3783,170 hrs
Priya,Lee,priya54@outlook.com,14/04/2022,60534 USD,,,51
John,Tanaka,john@outlook.com,18/02/2022,49569 USD,,$2262,115
Olga,Tanaka,olga44@,27/03/2021,58562 USD,,$4216,78 hrs
Fatima,Patel,fatima@example,17/09/2024,$70780,,$3531,110
John,Lee,john49@hotmail,09/08/2023,$86809,  Good employee,3157,111 hrs
Anil,Chen,anil11@outlook.com,07/04/2024,79283 USD,  Good employee,,167
Olga,Smith,olga4@yahoo.com,Not Available,,  Good employee,$1168,
John,Tanaka,john28@outlook.com,08/11/2020,$61035,,$3973,86 hrs
Wei,Chen,wei21@hotmail,Not Available,$79016,  Good employee,$3892,
Yuki,Smith,yuki@yahoo.com,Not Available,54596 USD,  Good employee,2265,
Yuki,Kumar,yuki@example,28/11/2023,,  Good employee,3327,
Luis,Ivanova,luis54@outlook.com,16/09/2023,,  Good employee,,71
