first_name,last_name,email,join_date,salary,remarks,sales,time_productive
Yuki,Tanaka,yuki34@outlook.com,2021-10-09,,Good employee,4133,85
Wei,Singh,wei@gmail.com,2021-10-09,,Good employee,3138,
Olga,Kumar,unknown@no_mail.com,2022-11-02,52872,Needs improvement,,
Sara,Patel,sara78@yahoo.com,2021-06-25,78655,unknown,2915,
Luis,Kumar,luis@gmail.com,2023-07-22,62016,Good employee,4641,92
Fatima,Garcia,fatima@yahoo.com,2020-01-08,,unknown,2261,
Michael,Kumar,michael43@outlook.com,2024-11-05,87764,unknown,,
Priya,Garcia,priya@yahoo.com,,37084,Good employee,2588,168
Wei,Chen,wei4@gmail.com,2022-11-09,,Needs improvement,1263,157
Michael,Tanaka,michael41@outlook.com,2021-06-27,58479,unknown,1291,85
Olga,Garcia,olga25@outlook.com,2022-04-16,75692,unknown,921,91
Fatima,Patel,fatima27@outlook.com,2023-03-11,56612,unknown,3059,87
Yuki,Chen,yuki95@yahoo.com,2022-06-23,,unknown,4656,106
Sara,Garcia,sara@yahoo.com,,70583,unknown,4450,56
Anil,Brown,anil52@yahoo.com,,,Good employee,2352,110
Sara,Singh,sara97@outlook.com,2024-06-29,,unknown,,57
Olga,Brown,olga@outlook.com,2023-01-27,,Needs improvement,3283,135
Priya,Lee,priya54@outlook.com,2022-04-14,60534,unknown,,51
John,Tanaka,john@outlook.com,2022-02-18,49569,unknown,2262,115
Anil,Chen,anil11@outlook.com,2024-04-07,79283,Good employee,,167
Olga,Smith,olga4@yahoo.com,,,Good employee,1168,
Yuki,Smith,yuki@yahoo.com,,54596,Good employee,2265,
Luis,Ivanova,luis54@outlook.com,2023-09-16,,Good employee,,71
Yuki,Ivanova,yuki42@yahoo.com,2022-09-17,,Good employee,3737,149
Luis,Singh,luis90@outlook.com,2022-12-23,,Needs improvement,,
Priya,Kumar,priya13@yahoo.com,2022-09-18,,Needs improvement,1090,
Michael,Singh,michael44@yahoo.com,2020-07-29,48634,Good employee,1137,59
Anil,Tanaka,anil59@gmail.com,2022-08-20,,unknown,1221,
John,Garcia,john36@yahoo.com,2023-03-26,,unknown,,
Anil,Garcia,anil42@gmail.com,,32404,Needs improvement,3362,70
Anil,Smith,anil@outlook.com,,48876,Good employee,1699,70
Anil,Kumar,anil18@gmail.com,2022-07-24,,Needs improvement,,139
Anil,Patel,anil49@outlook.com,2023-01-08,,Needs improvement,1736,
Anil,Lee,anil@yahoo.com,2022-12-13,39447,Good employee,,90
Wei,Kumar,wei13@outlook.com,2020-07-04,,Good employee,3520,142
Yuki,Patel,yuki31@outlook.com,2020-12-14,87071,unknown,836,144
Yuki,Kumar,yuki53@gmail.com,,,Good employee,2827,
Michael,Patel,michael46@yahoo.com,2023-01-11,37204,unknown,4665,83
Luis,Smith,luis96@gmail.com,2020-12-22,78609,Needs improvement,3470,
