first_name,last_name,email,join_date,salary,remarks,sales,time_productive,increment_percentage,final_incremented_salary
Yuki,Tanaka,yuki34@outlook.com,09/10/2021,98000,Good employee,4133,85,12,
Wei,Singh,wei@gmail.com,09/10/2021,58222,Good employee,3138,,10,
Olga,Kumar,unknown@no_mail.com,02/11/2022,52872,Needs improvement,,,3,54458.16
Sara,Patel,sara78@yahoo.com,25/06/2021,78655,unknown,2915,,10,86520.5
Luis,Kumar,luis@gmail.com,22/07/2023,62016,Good employee,4641,92,12,69457.92
Fatima,Garcia,fatima@yahoo.com,08/01/2020,45968,unknown,2261,,10,
Michael,Kumar,michael43@outlook.com,05/11/2024,87764,unknown,,,3,90396.92
Priya,Garcia,priya@yahoo.com,,37084,Good employee,2588,168,10,40792.4
Wei,Chen,wei4@gmail.com,09/11/2022,85000,Needs improvement,1263,157,8,
Michael,Tanaka,michael41@outlook.com,27/06/2021,58479,unknown,1291,85,8,63157.32
Olga,Garcia,olga25@outlook.com,16/04/2022,75692,unknown,921,91,8,81747.36
Fatima,Patel,fatima27@outlook.com,11/03/2023,56612,unknown,3059,87,10,62273.2
Yuki,Chen,yuki95@yahoo.com,23/06/2022,57222,unknown,4656,106,12,
Sara,Garcia,sara@yahoo.com,,70583,unknown,4450,56,12,79052.95999999999
Anil,Brown,anil52@yahoo.com,,66855,Good employee,2352,110,10,
Sara,Singh,sara97@outlook.com,29/06/2024,45858,unknown,,57,3,
Olga,Brown,olga@outlook.com,27/01/2023,57884,Needs improvement,3283,135,10,
Priya,Lee,priya54@outlook.com,14/04/2022,60534,unknown,,51,3,62350.02
John,Tanaka,john@outlook.com,18/02/2022,49569,unknown,2262,115,10,54525.9
Anil,Chen,anil11@outlook.com,07/04/2024,79283,Good employee,,167,3,81661.49
Olga,Smith,olga4@yahoo.com,,58774,Good employee,1168,,8,
Yuki,Smith,yuki@yahoo.com,,54596,Good employee,2265,,10,60055.6
Luis,Ivanova,luis54@outlook.com,16/09/2023,78547,Good employee,,71,3,
Yuki,Ivanova,yuki42@yahoo.com,17/09/2022,68458,Good employee,3737,149,3,
Luis,Singh,luis90@outlook.com,23/12/2022,45785,Needs improvement,,,3,
Priya,Kumar,priya13@yahoo.com,18/09/2022,58745,Needs improvement,1090,,8,
Michael,Singh,michael44@yahoo.com,29/07/2020,48634,Good employee,1137,59,8,52524.72
Anil,Tanaka,anil59@gmail.com,20/08/2022,88785,unknown,1221,,8,
John,Garcia,john36@yahoo.com,26/03/2023,66455,unknown,,,3,
Anil,Garcia,anil42@gmail.com,,32404,Needs improvement,3362,70,10,35644.4
Anil,Smith,anil@outlook.com,,48876,Good employee,1699,70,3,50342.28
Anil,Kumar,anil18@gmail.com,24/07/2022,68554,Needs improvement,,139,3,
Anil,Patel,anil49@outlook.com,08/01/2023,87554,Needs improvement,1736,,3,
Anil,Lee,anil@yahoo.com,13/12/2022,39447,Good employee,,90,3,40630.41
Wei,Kumar,wei13@outlook.com,04/07/2020,66884,Good employee,3520,142,3,
Yuki,Patel,yuki31@outlook.com,14/12/2020,87071,unknown,836,144,8,94036.68
Yuki,Kumar,yuki53@gmail.com,,78554,Good employee,2827,,10,
Michael,Patel,michael46@yahoo.com,11/01/2023,37204,unknown,4665,83,12,41668.479999999996
Luis,Smith,luis96@gmail.com,22/12/2020,78609,Needs improvement,3470,,10,86469.9
